time_window,device,absolute_deviation,standard_deviation,arithmetic_average,RMS,median,variance,activity
,girZ,0.6384000000000001,0.8175090213569511,-0.31699999999999995,0.8768181111268174,-155,0.668321,lying_down
19_09_29,accX,0.005400000000000005,0.007000000000000006,799,0.7990306627407988,0.8,4.90000000000001E-05,lying_down
,accY,0.0060000000000000105,0.007745966692414819,0.2800000000000001,0.28010712236571206,0.28,5.99999999999998E-05,lying_down
,accZ,0.007999999999999985,0.009219544457292894,0.5049999999999999,0.5050841514044961,0.5,8.50000000000001E-05,lying_down
,girX,481,0.5129961013497081,-625,0.8085728167580208,-455,0.263165,lying_down
,girY,2.1510000000000002,2.5271013038657553,-1197,2.7962564260096032,-1155,6.386241,lying_down
,girZ,0.9979999999999999,1.1440034964981531,-0.5660000000000001,1.276362017610991,-0.82,1.3087440000000001,lying_down
19_09_55,accX,0.0036000000000000034,0.005385164807134509,789,0.7890183774792575,0.79,2.90000000000001E-05,lying_down
,accY,0.005199999999999994,0.00748331477354787,0.28200000000000003,0.28209927330640183,0.28,5.59999999999998E-05,lying_down
,accZ,0.007200000000000028,0.008000000000000007,0.5139999999999999,0.5140622530394543,0.52,6.40000000000001E-05,lying_down
,girX,0.5950000000000001,0.6542942763008095,-623,0.9034544814211727,-0.5549999999999999,0.428101,lying_down
,girY,2.3389999999999995,2.407467756793432,-0.44300000000000006,2.4478868437899655,-0.21000000000000008,5.795901,lying_down
,girZ,1127,1.2534292959716555,-0.2250000000000001,1.2734637804036673,-0.5700000000000001,1.571085,lying_down
19_10_22,accX,0.019999999999999973,0.021071307505705447,796,0.7962788456313529,0.79,0.000443999999999999,lying_down
,accY,0.001799999999999996,0.0029999999999999858,281,0.28101601377857455,0.28,8.99999999999992E-06,lying_down
,accZ,0.027000000000000024,0.028442925306655806,509,0.5097940760738595,515,0.000809000000000001,lying_down
,girX,0.8080000000000002,0.8786330291993353,-582,1.053907016771404,-585,0.7719959999999999,lying_down
,girY,3.4048000000000003,4.530748392925831,-1.5230000000000001,4.779875521391744,-545,20.527681,lying_down
,girZ,1.3780000000000001,1.7112510043824662,-1.19,2.0843416226712934,-1.66,2.9283799999999998,lying_down
19_10_49,accX,0.004999999999999949,0.004999999999999949,0.8150000000000001,0.8150153372789987,815,2.49999999999995E-05,lying_down
,accY,0.004000000000000026,0.006324555320336747,0.2800000000000001,0.2800714194629649,0.28,3.99999999999998E-05,lying_down
,accZ,0.007400000000000006,0.009433981132056611,481,0.4810925066969969,0.48,8.90000000000002E-05,lying_down
,girX,0.5619999999999999,0.7672131385736299,-0.6119999999999999,0.9814071530206002,-0.63,0.5886159999999999,lying_down
,girY,2.2778000000000005,2.8118714408734977,-2957,4.080498744026274,-2.46,7.9066209999999995,lying_down
,girZ,0.9648000000000001,1.4243064979139848,-179,1.435510362205721,0.16,2.028649,lying_down
19_11_16,accX,0.02040000000000001,0.02315167380558044,0.7979999999999999,0.7983357689594022,0.81,0.000535999999999999,lying_down
,accY,0.004799999999999999,0.005999999999999994,278,0.2780647406630334,0.28,3.59999999999999E-05,lying_down
,accZ,0.026800000000000018,0.029732137494637028,504,0.5048762224545735,0.5,0.000884000000000001,lying_down
,girX,1.2442,1.7366522392235009,-0.21700000000000003,1.7501571358023826,-535,3.0159609999999994,lying_down
,girY,4296,5.3119374996323145,-4.5,6.961801490993549,-5.62,28.216680000000004,lying_down
,girZ,1.3908,1.6002027996475945,-409,1.65164463490183,0.14,2.5606489999999997,lying_down
19_11_43,accX,0.005599999999999938,0.008306623862918083,0.7790000000000001,0.7790442862892969,0.78,6.90000000000001E-05,lying_down
,accY,0.00899999999999998,0.012845232578665124,0.26499999999999996,0.2653111381001559,0.26,0.000165,lying_down
,accZ,0.005599999999999983,0.006403124237432854,0.5429999999999999,0.543037751910491,0.54,4.10000000000001E-05,lying_down
,girX,631,0.8240540030847494,-0.005000000000000032,0.8240691718539167,-0.29500000000000004,0.6790650000000003,lying_down
,girY,4.456799999999999,5.748642970301773,0.9119999999999997,5.820536057787118,-1.05,33.046896,lying_down
,girZ,1.4264,1.8661714819383561,-0.22799999999999992,1.8800478717309301,-345,3.482596,lying_down
19_12_10,accX,0.006800000000000006,0.008717797887081356,772,0.7720492212288024,0.77,7.60000000000001E-05,lying_down
,accY,0.009200000000000003,0.011357816691600547,269,0.2692396701825346,0.27,0.000129,lying_down
,accZ,0.014000000000000002,0.016613247725836146,538,0.5382564444574723,535,0.000276,lying_down
,girX,0.8078,1.2160596202489415,137,1.223752425942437,-0.29000000000000004,1.478801,lying_down
,girY,2.1878,3.0191921104825377,-623,3.0827990528089892,-1.2650000000000001,9.115521,lying_down
,girZ,1614,2.156148417897061,0.9719999999999999,2.3651131051178083,0.9349999999999999,4.648975999999999,lying_down
19_12_37,accX,0.014000000000000078,0.018027756377319962,0.7450000000000001,0.7452180888840528,0.74,0.000325000000000001,lying_down
,accY,0.007200000000000007,0.009433981132056611,259,0.25917175772062817,0.26,8.90000000000002E-05,lying_down
,accZ,0.019599999999999996,0.025079872407968884,579,0.5795429233456311,0.59,0.000628999999999999,lying_down
,girX,0.19,0.2838027484010681,-0.26399999999999996,0.38760804945202054,-275,0.08054399999999998,lying_down
,girY,774,0.953795051360616,-1655,1.9101701494893066,-1.5,0.9097250000000001,lying_down
,girZ,0.4548,0.6761390389557461,-0.41400000000000003,0.7928177596396286,-355,0.457164,lying_down
19_13_04,accX,0.004800000000000004,0.004898979485566361,734,0.7340163485917734,0.73,2.4E-05,lying_down
,accY,0.0032000000000000028,0.0040000000000000036,258,0.25803100588882727,0.26,1.6E-05,lying_down
,accZ,0.006000000000000005,0.007745966692414841,0.59,0.5900508452667448,0.59,6.00000000000001E-05,lying_down
,girX,0.13240000000000002,0.16444147895224,-317,0.3571134273588716,-0.29500000000000004,0.027041,lying_down
,girY,1.0964000000000003,1.4291539455216151,-0.7130000000000001,1.5971380654157612,-0.79,2.0424809999999995,lying_down
,girZ,0.6132,0.8100395052094681,-0.23399999999999999,0.843160720147707,-0.36,0.6561639999999999,lying_down
19_13_31,accX,0.0020000000000000907,0.004472135954999583,0.7300000000000001,0.7300136985016102,0.73,2E-05,lying_down
,accY,0.004800000000000015,0.00489897948556636,0.25599999999999995,0.2560468707092512,0.26,2.4E-05,lying_down
,accZ,0.006000000000000005,0.006633249580710806,0.5959999999999999,0.5960369116086688,595,4.40000000000001E-05,lying_down
,girX,129,0.1725369525637914,-0.38099999999999995,0.41824633889611035,-375,0.029769,lying_down
,girY,0.8423999999999999,1.3458755514534022,-693,1.5138130663988867,-0.9299999999999999,1.8113809999999997,lying_down
,girZ,836,1.171008112696065,-0.5799999999999998,1.3067746554016113,-0.25,1.3712600000000001,lying_down
19_13_58,accX,0.0032000000000000028,0.0040000000000000036,732,0.7320109288801636,0.73,1.6E-05,lying_down
,accY,0.005599999999999983,0.006633249580710806,0.25600000000000006,0.2560859230805161,0.26,4.40000000000001E-05,lying_down
,accZ,0.0048000000000000265,0.004898979485566361,0.5959999999999999,0.5960201338881095,0.6,2.4E-05,lying_down
,girX,0.3342,0.5027335278256265,-603,0.785079613797225,-0.51,0.252741,lying_down
,girY,1.3624,1.672924385619386,-1108,2.006574194990058,-1.31,2.798676,lying_down
,girZ,1.3656,1.522516338171778,0.33799999999999997,1.5595832776738792,-0.25,2.3180559999999995,lying_down
19_14_25,accX,0.020399999999999963,0.024919871588754205,0.7969999999999999,0.7973894907759946,0.79,0.000620999999999999,lying_down
,accY,0.006000000000000005,0.006708203932499376,265,0.26508489206290126,0.26,4.50000000000001E-05,lying_down
,accZ,0.02660000000000002,0.03330165161069344,511,0.5120839774880679,0.52,0.001109000000000001,lying_down
,girX,0.4468,0.5851230639788523,-121,0.5975031380670732,-0.33,0.34236900000000003,lying_down
,girY,2.4192000000000005,3.8600933926525665,0.5170000000000001,3.894561592785509,-1.0050000000000001,14.900321000000002,lying_down
,girZ,1.1276,1.7827588171146425,381,1.8230167305869684,-0.05,3.178228999999999,lying_down
19_14_51,accX,0.06939999999999998,0.106061303028013,0.7590000000000001,0.7663745820419673,0.78,0.011249,lying_down
,accY,0.1788,0.20841305141473265,168,0.26769385499110737,265,0.043435999999999995,lying_down
,accZ,0.0688,0.0998448796884447,539,0.5481696817592159,0.53,0.009968999999999997,lying_down
,girX,27.834000000000003,39.02697477386634,-12.540000000000001,40.992149980209625,-0.11,1523.1047599999997,lying_down
,girY,33.82000000000001,54.24643619630694,9.51,55.073731851037664,-3.17,2942.67584,lying_down
,girZ,16.1244,24.033600312895278,-9884,25.986677355906814,0.43,577.613944,lying_down
19_15_18,accX,0.11539999999999999,0.15668120499919572,649,0.6676451153120196,0.7,0.024548999999999994,walking
,accY,0.0184,0.02727636339397171,-16,0.031622776601683784,-0.01,0.000744,walking
,accZ,0.09359999999999997,0.12820296408429877,708,0.7195137246779939,0.66,0.016436,walking
,girX,11.7576,18.787110900827727,-978,18.812549534818505,-0.31999999999999995,352.955536,walking
,girY,23.425600000000003,41.12560521135221,4976,41.425547431506565,-1.66,1691.3154040000002,walking
,girZ,19953,34.367377627628215,-2.1249999999999996,34.433011340863004,-0.14,1181.1166450000003,walking
19_15_45,accX,0.12100000000000002,0.16025292509030845,617,0.6374715679934283,625,0.02568100000000001,walking
,accY,0.12079999999999999,0.16425894191793639,0.012999999999999998,0.1647725705328408,-0.02,0.026980999999999998,walking
,accZ,0.1524,0.20527055317312318,0.7619999999999999,0.789164114744202,685,0.04213599999999999,walking
,girX,59.66519999999999,73.86106477028339,-22009,77.07044161025678,-37785,5455.456888999999,walking
,girY,50.4348,72.30220874219542,-44419,84.8566847690858,-36655,5227.609389,walking
,girZ,44.0868,53.59865487118124,-0.5640000000000004,53.601622176945355,2.95,2872.8158040000003,walking
19_16_13,accX,0.0934,0.11776671855834313,769,0.7779652948557538,0.8,0.013869000000000001,walking
