-----------------------------------------------

time_window,device,absolute_deviation,standard_deviation,arithmetic_average,RMS,median,variance,activity
,girY,0.37920000000000004,0.5158333064081846,386,0.6442670253862136,315,0.26608400000000004,lying_down
,girZ,188,0.20391174561559716,0.78,0.8062133712609832,0.7649999999999999,0.04158000000000001,lying_down
14:41:28,accX,0.009600000000000053,0.011135528725660053,0.8459999999999999,0.846073282878026,0.85,0.000124,lying_down
,accY,0.005400000000000013,0.008306623862918075,0.15899999999999997,0.15921683328090658,0.16,6.9E-05,lying_down
,accZ,0.0047999999999999935,0.00489897948556636,0.48600000000000004,0.48602469073083104,0.49,2.4E-05,lying_down
,girX,0.3852000000000001,0.5554178607138953,-0.009000000000000018,0.5554907740007929,-115,0.308489,lying_down
,girY,0.8573999999999999,1.142562470939773,0.6609999999999999,1.3199886363147222,0.29500000000000004,1.3054489999999996,lying_down
,girZ,186,0.21526727572949864,0.9000000000000001,0.9253864057786888,875,0.04633999999999999,lying_down
14:41:56,accX,0.0032000000000000695,0.0040000000000000036,0.8379999999999999,0.8380095464850027,0.84,1.6E-05,lying_down
,accY,0.005599999999999985,0.006633249580710794,174,0.17412639087743134,0.17,4.39999999999999E-05,lying_down
,accZ,0.0036000000000000034,0.005385164807134508,499,0.49902905727021546,0.5,2.9E-05,lying_down
,girX,0.16499999999999998,0.18618539147849383,-145,0.2359872877932199,-0.12,0.034665,lying_down
,girY,0.35840000000000005,0.504753405139579,198,0.542199225377536,0.29000000000000004,0.254776,lying_down
,girZ,0.21200000000000002,0.2920616373302046,0.7,0.7584853327520579,725,0.08529999999999999,lying_down
14:42:25,accX,0.020599999999999917,0.0349428104193123,0.8230000000000001,0.8237414642956854,0.83,0.0012209999999999999,lying_down
,accY,0.01079999999999999,0.017578395831246943,179,0.1798610574860495,0.17,0.000309,lying_down
,accZ,0.016600000000000004,0.027730849247724086,509,0.5097548430373173,0.5,0.000769,lying_down
,girX,1064,1.5794872585747566,0.4699999999999999,1.6479320374335829,-0.12,2.49478,lying_down
,girY,0.9064,1.336811131012904,0.05600000000000001,1.3379835574475494,0.38,1.7870639999999998,lying_down
,girZ,0.5892,0.9103823372627569,1222,1.5238372616523066,0.9,0.828796,lying_down
14:42:54,accX,0.0116,0.013453624047073703,833,0.8331086363734325,0.83,0.000181,lying_down
,accY,0.009000000000000003,0.011000000000000001,0.16299999999999998,0.16337074401495513,165,0.000121,lying_down
,accZ,0.015000000000000013,0.017916472867168933,0.4969999999999999,0.49732283277565287,495,0.000321000000000001,lying_down
,girX,0.46099999999999997,0.6091050812462493,-0.36900000000000005,0.712158690180777,-405,0.371009,lying_down
,girY,784,0.9547355654839721,0.42000000000000004,1.0430340358780243,275,0.91152,lying_down
,girZ,0.5923999999999999,0.7039183191251667,1103,1.3084762130050358,1.29,0.49550099999999997,lying_down
14:43:22,accX,0.031200000000000006,0.05276362383309166,826,0.8276835143942398,0.84,0.0027839999999999983,lying_down
,accY,0.014999999999999989,0.023345235059857503,0.15499999999999997,0.1567482057313576,0.15,0.000545,lying_down
,accZ,0.028600000000000014,0.04060788100849391,509,0.510617273503355,0.49,0.0016490000000000005,lying_down
,girX,1.0688,1.8103104706099447,-0.6659999999999999,1.9289323471806885,-0.08,3.277223999999999,lying_down
,girY,1.1159999999999999,1.3007920663964707,0.53,1.4046209453087335,0.7350000000000001,1.6920600000000001,lying_down
,girZ,658,0.8025334883978363,1.19,1.4353257469996141,995,0.6440600000000001,lying_down
14:43:50,accX,0.18319999999999997,0.20052181926164542,679,0.7079901129253148,715,0.040208999999999995,jumping
,accY,0.21100000000000002,0.2728387802347753,123,0.2992824752637548,0.06999999999999999,0.07444100000000001,jumping
,accZ,0.20799999999999996,0.2992991814222017,0.56,0.634964565940494,665,0.08958,jumping
,girX,11.6206,15.374142870417199,-3.6689999999999996,15.805879602223975,185,236.364269,jumping
,girY,17.3898,23.06544950786782,-4457,23.492122296633823,0.98,532.014961,jumping
,girZ,22.099200000000003,25.745381799460656,-19256,32.14993343694509,-5955,662.8246839999999,jumping
14:44:19,accX,0.05120000000000002,0.06128621378417825,0.31199999999999994,0.3179622619116929,0.33,0.003756,sitting
,accY,0.05900000000000002,0.08367197858303578,617,0.6226475728692756,615,0.0070009999999999985,sitting
,accZ,0.06479999999999997,0.09404254356406996,0.6639999999999999,0.6706265726915389,655,0.008843999999999998,sitting
,girX,7.9083999999999985,11.30974694677118,0.11199999999999974,11.310301499075964,-0.9,127.910376,sitting
,girY,15.9184,22.621151075928914,1.9720000000000006,22.70694299107654,-2.24,511.71647599999994,sitting
,girZ,10.0592,14.589959184315767,3261,14.949950836039562,-0.10000000000000003,212.866909,sitting
14:44:47,accX,0.07900000000000001,0.10555093557141028,0.6429999999999999,0.6516057089989313,645,0.011141000000000005,walking
,accY,0.0588,0.08431488599292535,-0.08900000000000001,0.12259690045021529,-55,0.007108999999999999,walking
,accZ,0.048799999999999975,0.05695612346359257,0.7060000000000001,0.7082937243827592,725,0.0032440000000000004,walking
,girX,10.4642,15.522240205588885,-2.8169999999999993,15.775786192770234,-6845,240.93994100000003,walking
,girY,17.9932,23.208587828646532,9961,25.255891787858133,6175,538.638549,walking
,girZ,7.8396,9.714182466888298,-5827,11.327809585264047,-6.15,94.365341,walking
14:45:15,accX,0.0408,0.04825971404805461,701,0.7026592346223025,715,0.0023289999999999995,stopped
,accY,0.024999999999999998,0.034999999999999996,-0.034999999999999996,0.04949747468305833,-0.02,0.001225,stopped
,accZ,0.06499999999999999,0.09022749026765622,667,0.6730750329643791,0.67,0.008140999999999999,stopped
,girX,14.073599999999999,19.3215735384052,8706,21.19239580604326,-0.09,373.32320400000003,stopped
,girY,8.122800000000002,12.236484625904614,-2508,12.49086145948309,-0.16,149.73155599999998,stopped
,girZ,15.991999999999996,21.80216319542627,11.109999999999998,24.469704125714305,0.9199999999999999,475.3343199999998,stopped
14:45:44,accX,0.27359999999999995,0.32661292074870524,0.33799999999999997,0.47002127611417754,0.28,0.10667599999999999,stopped
,accY,0.36160000000000003,0.392531527396208,0.5469999999999999,0.6732681486599525,755,0.154081,stopped
,accZ,0.16760000000000003,0.18361917111238685,438,0.47493157401882646,0.33999999999999997,0.033716,stopped
,girX,13.779600000000002,17.78784250548672,-12.442999999999998,21.707961442751824,-8.07,316.407341,stopped
,girY,19866,24.66746602308393,11.290000000000001,27.12836117423977,17.02,608.48388,stopped
,girZ,10602,14.039727383393169,3.3049999999999997,14.423486749049275,1.37,197.113945,stopped
14:46:12,accX,0.29100000000000004,0.33585860119996924,493,0.5965316420777694,505,0.112801,walking
,accY,0.31520000000000004,0.41134049156386243,147,0.43681803992051427,-5,0.169201,walking
,accZ,0.21799999999999997,0.26293725487271674,678,0.7272001100109927,0.6699999999999999,0.069136,walking
,girX,71.08000000000001,103.77230972181356,-31125,108.339549057581,-5505,10768.692265,walking
,girY,16812,22.949856731578958,-0.38400000000000034,22.953069075833845,2145,526.695924,walking
,girZ,34.400400000000005,47.241042336087375,13487,49.128558395295904,10.21,2231.7160809999996,walking
14:46:40,accX,0.11879999999999998,0.1516047492659778,0.6639999999999999,0.6810873659083686,0.65,0.022983999999999997,walking
,accY,0.06000000000000001,0.08487638069569177,-0.10600000000000001,0.1357939615741436,-105,0.0072039999999999995,walking
,accZ,0.12359999999999997,0.1419013742005341,682,0.6966060579696389,735,0.020136,walking
,girX,18.501800000000003,20.89230722060156,20.717000000000002,29.422484429429133,11.315000000000001,436.488501,walking
,girY,23418,31.106214234458044,10616,32.86785694261188,8395,967.5965640000002,walking
,girZ,18.9444,21.549389805746237,21387,30.360829534121756,15.469999999999999,464.3762009999999,walking
14:47:09,accX,0.16,0.18492160501142096,598,0.625939294181153,605,0.03419599999999999,walking
,accY,0.10800000000000001,0.15336231610144652,-0.05,0.16130716041143367,0.0,0.023520000000000003,walking
,accZ,0.11000000000000001,0.13969967788080256,728,0.7412826721298696,0.75,0.019516,walking
,girX,10.355599999999999,15.45837536741814,12.160999999999998,19.668535532672482,6.16,238.96136899999993,walking
,girY,16.479800000000004,22.457430418460614,2.813000000000001,22.632921817564785,6.06,504.336181,walking
,girZ,15.7636,23.033151673186193,9032,24.74071745119773,11875,530.5260759999999,walking
14:47:37,accX,0.2252,0.25973832986296036,0.5660000000000001,0.6227519570422881,0.45499999999999996,0.067464,stopped
,accY,0.21959999999999996,0.30041471335472236,121,0.32386725675807365,5,0.090249,stopped
,accZ,0.1136,0.12641598000252977,693,0.7044359445684185,0.66,0.015981000000000002,stopped
,girX,13.7092,17.44330083441778,0.23600000000000101,17.444897248192664,-635,304.268744,stopped
,girY,20.8364,24.04284968550941,-16.133000000000003,28.953968812582502,-21875,578.0586209999999,stopped
,girZ,20247,27.080207550903296,1.3070000000000002,27.111729749316993,985,733.337641,stopped
14:48:06,accX,578,0.8497999764650502,0.42000000000000004,0.947924047590312,0.75,0.72216,walking
,accY,0.20420000000000002,0.3710539044397727,33,0.37251845591862964,-15,0.13768099999999997,walking
,accZ,0.2912,0.46679331614752156,728,0.86480055504145,605,0.217896,walking
